Nama Pelanggan,Produk,Ulasan,Rating
Ambu,Meja Kerja dan Belajar Taves Edition Minimalis | MK16,Alhamdulillah..,5
R***a,WITA - Kursi lesehan lipat sofa folding busa Dakron Premium edition,bagus,5
A***a,Meja Belajar / Kerja / laptop Industrial Knockdown | MK01,Tidak ada ulasan,5
Fetra,Meja belajar tulis dan Laptop kayu minimalis - MSB11,"kaki nya kurang simetris, mkn hrs lebih teliti lagi. gan",3
neytie,Alas Bantal Duduk Lesehan bulat Sofa/Kursi rebounded | FC0,bagus tebal,5
Mohamad,Stool bulat / kursi samping / bangku minimalis | STO04,"Bagus, cuma finishing ada benang2 hitam yang keluar tidak rapih",4
May,WITA - Kursi lesehan lipat sofa folding busa Dakron Premium edition,"respon seller bagus, cepat tanggap..produknya juga bagus,",5
S***i,Bantal / Alas Duduk Lesehan Panjang Sofa/Kursi rebounded | FC07,baguuuus,5
Debby,KitchenV Meja Laptop/Meja Komputer/Meja Kerja-Meja Belajar Meja Tulis,setelah dipasang tidak kokoh gampang goyang,3
T***n,Alas Bantal Duduk Lesehan Kotak Sofa/Kursi rebounded | FC04,"ukuran pas sesuai penawaran, warna sesuai permintaan, sangat recommended 👍",5
e***e,Bantal / Alas Duduk Lesehan Kotak Sofa/Kursi rebounded | FC06,barang oke...service toko oke. semoga awet dipakai.,5
I***n,meja tamu / coffee table / lesehan bulat minimalis | MS12,"mudah  di rakit,kualitas barang ok",5
Yassar,Meja Kerja dan Belajar Taves Edition Minimalis | MK16,"Barang bagus mudah di rakit. tapi perlu hati"" agar bisa seimbang. cuma sepertinya untuk alasnya produk lama karena chat sdah mengelupas. oberall OK 👍",4
Z***y,Meja kerja / belajar / komputer / laptop square edition | MSB13,Mantap......... Terima kasih banyak gan,5
Tigama,WITA - Kursi lesehan lipat sofa folding busa Dakron Premium edition,"Engsel nya solid, ane BB 85 nyender pasrah aman sentosa. Terus bisa jadi kaya kursi goyang juga 😂. FYI buat qlean yg punya TB diatas 160 wajib yg 100 cm ya biar ketopang...",5
A***p,Bantalan Kursi Sofa Kantor /Tatami Lovely Cushion | NP15,Tidak se estetik di foto. seperti bau apek & bekas pakai. kalo soal tebal memang tebal.,4
Andi,Stool Bangku Sofa/Bangku Modern Minimalis/Bangku Ruang Tamu | NP27,Kursinya bagus jahitan kuat smg awet. Thx seller sukses selalu,5
Arif,CUSTOM BANTAL / CUSTOM BUSA / CUSTOM SARUNG BANTAL ONLY,mantab  bisa custom ukuran. semoga awet. sukses terus yah,5
