Nama Pelanggan,Produk,Ulasan,Rating
Dendy,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"mejanya goyang jadi harus agak di tahan kaki"" nya",4
A***i,Kursi Cafe Minimalis Dengan Bantal Kulit / Kursi Kantor / Kursi Bar,suka modelnya,5
nugroho,Rak Mesin Cuci/Rak Serbaguna/Rak Laundry/Rak Cuci/Toilet Organizer,"Kualitas barang cukup bagus, tp baut banyak yg kurang",3
nugroho,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"Kualitas barang cukup bagus, tp baut banyak yg kurang",3
Fitri,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,patah semua,1
E***o,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,Tidak ada ulasan,5
H***y,Meja Ruang Tamu Meja Samping Tempat Tidur Meja Sofa Kayu Meja Nakas,kualitas oke. pasang gampang,5
Arie,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,"Belum di cek mudah2an bagus , respon seller oke , cuma hati2 kalo yg mau pake cargo JNE , baru kali ini belanja di tokped barangnya disuruh jemput sendiri digudang, wkwkw...",5
Thomas,Meja Tamu / Meja Kopi / Coffee Table / Meja Tamu Minimalis Modern,"bagus , kekinian …",5
F***y,Rak Sepatu kayu / Anti Debu Lemari Sepatu kayu lipat/ Rak Sepatu Susun,Tidak ada ulasan,5
SEVIERA,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,lucu maniez mejanya harga super murah,5
Audira,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Pengalaman beli di toko ini selalu buruk padahal udh coba beli kedua kali,1
Audira,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Gapernah enak pengalaman beli disini,1
Teuku,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,"nice...pas untuk wardrobe 3 meter...
recomen seller...
respon cepat...nice pokoknya...",5
Hedy,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"mejanya bagus, cuma agak bocel dikit di ujung2nya",4
