,Nama Pelanggan,Produk,Ulasan,Rating,label
0,Dendy,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"mejanya goyang jadi harus agak di tahan kaki"" nya",4,1
1,A***i,Kursi Cafe Minimalis Dengan Bantal Kulit / Kursi Kantor / Kursi Bar,suka modelnya,5,1
2,nugroho,Rak Mesin Cuci/Rak Serbaguna/Rak Laundry/Rak Cuci/Toilet Organizer,"Kualitas barang cukup bagus, tp baut banyak yg kurang",3,0
3,nugroho,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"Kualitas barang cukup bagus, tp baut banyak yg kurang",3,0
4,Fitri,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,patah semua,1,0
5,E***o,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,Tidak ada ulasan,5,1
6,H***y,Meja Ruang Tamu Meja Samping Tempat Tidur Meja Sofa Kayu Meja Nakas,kualitas oke. pasang gampang,5,1
7,Arie,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,"Belum di cek mudah2an bagus , respon seller oke , cuma hati2 kalo yg mau pake cargo JNE , baru kali ini belanja di tokped barangnya disuruh jemput sendiri digudang, wkwkw...",5,1
8,Thomas,Meja Tamu / Meja Kopi / Coffee Table / Meja Tamu Minimalis Modern,"bagus , kekinian …",5,1
9,F***y,Rak Sepatu kayu / Anti Debu Lemari Sepatu kayu lipat/ Rak Sepatu Susun,Tidak ada ulasan,5,1
10,SEVIERA,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,lucu maniez mejanya harga super murah,5,1
11,Audira,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Pengalaman beli di toko ini selalu buruk padahal udh coba beli kedua kali,1,0
12,Audira,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Gapernah enak pengalaman beli disini,1,0
13,Teuku,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,"nice...pas untuk wardrobe 3 meter...
recomen seller...
respon cepat...nice pokoknya...",5,1
14,Hedy,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"mejanya bagus, cuma agak bocel dikit di ujung2nya",4,1
15,Gamee,Rak Sepatu Duduk/Rak Sepatu Sofa/Bangku Rak Sepatu/Lemari Sepatu,Rumah Rapi dan Nyaman Rekomen 👍🏻,5,1
16,Muhammad,Rak Sepatu Duduk/Rak Sepatu Sofa/Bangku Rak Sepatu/Lemari Sepatu,"Barang bagus perakitan juga mudah, cocok untuk ditaruh kost yang sempit. Karena ukuran juga ringkas",5,1
17,I***l,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Kualitas standar aluminum, ada beberapa bagian yg bengkok tapi bisa ditekuk lagi.
setelah ditaruh barang sepertinya kokoh, semoga tahan lama.
pengiriman cepat. packaging...",5,1
18,M***y,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"lumayan berat, gampang dirakit tapi petunjuknya agak membingungkan. bagus tampilannya.",5,1
19,Hafez,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"meja keren, gampang dirakit, packing aman banyak styrofoamnya, meja tebal, besi besi tebal. rak ga gede2 amat tp cukuplah, bagus deh pokoknya. kecuali obeng bawaan, 3 bau...",5,1
20,Hafez,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"bagus sih ini, saran buat yg beli lihat videonya merakitnya ya, abis liat pasti gampang deh masangnya. Overall bagus, kursinya kuat warnanya bagus, toko ramah, harga bers...",5,1
21,T***k,Rak Buku Minimalis Kayu Serbaguna Susun Lemari Multifungsi HD090,"barang bagus tidak ada yg lecet, pengiriman cepat, mudah dirakit, semoga awet",5,1
22,Bimo,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,3,0
23,Bimo,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Foto sama real beda!,3,0
24,Bimo,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Foto sama real beda!,3,0
25,Aya,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"Paket sudah diterima dan kondisi packing agak sedikit rusak (mungkin karena pengiriman) dan juga ada bbrp bagian ujung yg lecet (masih bisa di tolerir), tapi yg paling di...",3,0
26,Shiva,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Ikan sepat ikan kakap, muantap",5,1
27,Jesika,Rak Sepatu kayu / Anti Debu Lemari Sepatu kayu lipat/ Rak Sepatu Susun,"butuh konsentrasi...tapi sy suka bgt sesuai ekspektasi..setelah d rakit akhirnya jd jg
puas bgt🤩🤩",5,1
28,dOEltz,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Recommend seller👍...utk abang kurirnya makasih banyak🙏...,5,1
29,amirin,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,"seller fast response, barang bagus",5,1
30,e***o,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,"Mohon untuk busa pengaman lebih dipertebal bagian sudut2 karena beberapa bagian ada yg rusak.
Sayang produk bagus kalau packingnya kurang proper
Terima kasih",4,1
31,Dennis,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Bagusss,5,1
32,N***i,Meja Rias Putih / Meja Rias Minimalis / Dressing Table Meja Kosmetik,bagus.mungil,5,1
33,Surjaningsih,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,Bahannya bagus. Dirakitnya gampang. Harganya juga murah. Sdh beli utk yg ke 5 kalinya dengan model yg berbeda 👍👍,5,1
34,k***s,Homedoki Kursi Kantor Hidrolik/Kursi Gaming/Kursi Putar/Kursi Jaring,"kualitas baik, sesuai harga, pokoknya OK lah",5,1
